(Un) Spoken,Dennis Sharpe,No encontrado,2010,[],24,4.58,http://www.goodreads.com/book/show/11187937-un-spoken
Save Me,Big Hit Entertainment,No encontrado,2019,"['sequential-art', 'graphic-novels', 'sequential-art', 'manga', 'fantasy', 'sequential-art', 'comics', 'manga', 'manhwa', 'contemporary', 'young-adult', 'sequential-art', 'webcomic', 'fiction', 'mystery']",3953,4.59,http://www.goodreads.com/book/show/54710154-save-me
Sir Gibbie,George MacDonald,No encontrado,1879,"['fiction', 'classics', 'christian', 'historical', 'historical-fiction', 'christian-fiction', 'cultural', 'scotland', 'fantasy', 'childrens', 'religion', 'christianity', 'young-adult']",1566,4.3,http://www.goodreads.com/book/show/541924.Sir_Gibbie
Her Forbidden Rockstar,Sarah  Robinson,No encontrado,2013,"['romance', 'music', 'new-adult', 'romance', 'contemporary-romance', 'contemporary']",381,3.6,http://www.goodreads.com/book/show/18464372-her-forbidden-rockstar
Heart of the Country,Greg Matthews,No encontrado,1986,"['historical', 'historical-fiction', 'westerns', 'fiction']",409,4.03,http://www.goodreads.com/book/show/889615.Heart_of_the_Country
"The Complete Works of William Shakespeare (37 plays, 160 sonnets and 5 Poetry Books With Active Table of Contents)",William Shakespeare,No encontrado,1623,"['classics', 'poetry', 'fiction', 'plays', 'drama', 'literature', 'reference', 'plays', 'theatre', 'classics', 'classic-literature', 'historical', 'historical-fiction']",53006,4.48,http://www.goodreads.com/book/show/31935106-the-complete-works-of-william-shakespeare
Prodigal Son,Dean Koontz,No encontrado,2005,"['horror', 'fiction', 'thriller', 'fantasy', 'mystery', 'science-fiction', 'suspense', 'fantasy', 'paranormal', 'horror', 'victor-frankenstein', 'audiobook']",33954,4.03,http://www.goodreads.com/book/show/21337.Prodigal_Son
الشيخ زعرب وآخرون,يوسف السباعي,No encontrado,No encontrado,"['short-stories', 'fiction']",153,3.64,http://www.goodreads.com/book/show/2930763
ئەلف,Paulo Coelho,No encontrado,2010,"['fiction', 'novels', 'philosophy', 'spirituality', 'literature', 'inspirational', 'fantasy', 'contemporary', 'adult', 'unfinished']",33514,3.38,http://www.goodreads.com/book/show/23454277
Las Vegas on Twelve Dollars a Day,Mike Bennett,No encontrado,2020,"['fiction', 'contemporary', 'novels', 'drama']",401,4.28,http://www.goodreads.com/book/show/56134143-las-vegas-on-twelve-dollars-a-day
